Year,Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,Cancelled,Diverted
2007,6,26,3,1631,1856,US,N102UA,145.0,145.0,120.0,24.0,24.0,MCO,DEN,1005.0,0,0
2007,6,8,2,2311,351,WN,N125US,282.0,280.0,258.0,-15.0,-9.0,DFW,ATL,1834.0,0,0
2007,9,27,6,1621,1740,UA,N114WN,80.0,79.0,56.0,24.0,25.0,ATL,SEA,527.0,0,0
2007,11,15,7,49,455,DL,N603AA,243.0,246.0,228.0,2.0,3.0,LAX,SEA,1769.0,0,0
2007,1,3,7,2107,2354,WN,N331US,164.0,167.0,-5.0,47.0,48.0,PHX,SEA,1173.0,0,0
2007,12,10,6,35,456,US,N972AA,263.0,261.0,237.0,-12.0,-6.0,DFW,SFO,1772.0,0,0
2007,7,5,6,1238,1725,AA,N102UA,300.0,287.0,264.0,-13.0,-12.0,PHX,LAX,1955.0,0,0
2007,5,9,6,208,311,WN,N136WN,60.0,63.0,40.0,-9.0,-7.0,SFO,DFW,454.0,0,0
2007,9,21,3,1123,1456,DL,N755AA,209.0,213.0,192.0,-8.0,-4.0,PHX,SEA,1455.0,0,0
2007,7,6,1,1639,2206,UA,N130UA,322.0,327.0,303.0,47.0,47.0,DEN,SFO,2274.0,0,0
2007,4,12,7,944,1143,DL,N645AA,117.0,119.0,98.0,-48.0,-69.0,SEA,PHX,870.0,0,0
2007,4,10,1,49,406,AA,N920AA,199.0,197.0,179.0,-10.0,-2.0,JFK,SEA,1405.0,0,0
2007,9,28,4,726,1256,WN,N454UA,332.0,330.0,314.0,9.0,-6.0,PHX,DEN,2337.0,0,0
2007,8,5,1,1546,1802,UA,N598UA,129.0,136.0,115.0,5.0,3.0,PHX,DEN,996.0,0,0
2007,7,6,6,1326,1836,UA,N257DL,305.0,310.0,289.0,69.0,60.0,DEN,DFW,2069.0,0,0
2007,5,17,3,2007,2139,UA,N180DL,96.0,92.0,78.0,18.0,21.0,SEA,DEN,614.0,0,0
2007,10,6,1,121,311,DL,N130UA,107.0,110.0,97.0,-66.0,-69.0,DEN,SEA,751.0,0,0
2007,5,11,3,2149,59,US,N755UA,190.0,190.0,167.0,-29.0,-31.0,SFO,SEA,1333.0,0,0
2007,4,5,1,1315,1401,DL,N861DL,39.0,46.0,28.0,-10.0,-10.0,PHX,ATL,336.0,0,0
2007,11,2,6,228,516,DL,N653US,168.0,168.0,153.0,0.0,-5.0,LAX,DFW,1147.0,0,0
2007,4,18,3,2010,2121,WN,N755AA,71.0,71.0,58.0,-5.0,2.0,DFW,PHX,494.0,0,0
2007,3,7,6,539,1023,US,N681US,275.0,284.0,263.0,15.0,14.0,DFW,PHX,1905.0,0,0
2007,9,5,7,840,1204,US,N349UA,205.0,204.0,185.0,30.0,37.0,SFO,SEA,1344.0,0,0
2007,8,14,6,404,649,WN,N831WN,155.0,165.0,153.0,-6.0,-14.0,ORD,SFO,1117.0,0,0
2007,1,14,2,2128,1,US,N586DL,150.0,153.0,142.0,-24.0,-8.0,SEA,SFO,998.0,0,0
2007,2,8,4,1432,1745,US,N136WN,192.0,193.0,174.0,6.0,3.0,DFW,SFO,1359.0,0,0
2007,5,8,3,756,1320,WN,N349UA,325.0,324.0,308.0,9.0,17.0,SFO,JFK,2386.0,0,0
2007,10,25,4,2014,2358,UA,N645AA,234.0,224.0,203.0,14.0,17.0,SFO,JFK,1475.0,0,0
2007,5,25,5,1010,1224,UA,N681US,145.0,134.0,118.0,6.0,8.0,SEA,ORD,978.0,0,0
2007,10,2,4,323,555,WN,N136WN,150.0,152.0,128.0,133.0,137.0,DEN,DFW,1066.0,0,0
2007,4,4,4,1604,2018,DL,N125US,263.0,254.0,235.0,33.0,35.0,JFK,ORD,1904.0,0,0
2007,3,19,3,1022,1247,US,N369DL,145.0,145.0,127.0,-65.0,-78.0,SFO,MCO,1070.0,0,0
2007,10,25,3,350,623,UA,N681US,157.0,153.0,134.0,-34.0,-29.0,PHX,DFW,1124.0,0,0
2007,11,25,1,905,1131,AA,N257WN,146.0,146.0,122.0,-11.0,-13.0,DFW,ORD,1075.0,0,0
2007,1,27,6,847,1052,US,N653US,127.0,125.0,111.0,25.0,29.0,LAX,DFW,902.0,0,0
2007,1,26,6,1311,1733,UA,N257WN,258.0,262.0,244.0,-13.0,-0.0,SEA,MCO,1961.0,0,0
2007,9,18,6,1,133,WN,N454UA,92.0,92.0,73.0,3.0,-2.0,ATL,ORD,600.0,0,0
2007,5,14,5,1535,1843,US,N598UA,194.0,188.0,170.0,18.0,14.0,DFW,LAX,1305.0,0,0
2007,7,4,7,211,307,UA,N586DL,51.0,56.0,35.0,14.0,10.0,SEA,SFO,416.0,0,0
2007,2,12,4,1335,1720,AA,N462US,232.0,225.0,202.0,32.0,44.0,SEA,SFO,1520.0,0,0
2007,11,8,1,612,834,WN,N586DL,132.0,142.0,130.0,3.0,-2.0,LAX,MCO,947.0,0,0
2007,6,1,4,1233,1827,WN,N331US,355.0,354.0,337.0,35.0,43.0,LAX,PHX,2612.0,0,0
2007,11,8,7,2357,424,WN,N342WN,262.0,267.0,250.0,-8.0,-12.0,DFW,SFO,1811.0,0,1
2007,10,14,2,1405,1603,WN,N645AA,123.0,118.0,102.0,15.0,21.0,JFK,ORD,797.0,0,0
2007,9,9,3,1556,2051,AA,N598UA,303.0,295.0,274.0,-19.0,-20.0,ORD,SEA,2134.0,0,0
2007,3,19,6,254,400,DL,N833UA,56.0,66.0,47.0,52.0,57.0,LAX,JFK,445.0,0,0
2007,10,10,1,301,640,UA,N603AA,212.0,219.0,200.0,66.0,58.0,SEA,MCO,1641.0,0,0
2007,1,10,5,345,543,AA,N833UA,126.0,118.0,100.0,-1.0,6.0,DEN,SFO,768.0,0,0
2007,7,27,3,146,436,US,N559WN,173.0,170.0,148.0,7.0,15.0,LAX,SEA,1186.0,0,0
2007,5,5,4,1343,1809,WN,N257WN,262.0,266.0,249.0,-45.0,-53.0,PHX,JFK,1743.0,0,0
2007,12,8,3,1228,1428,UA,N369DL,113.0,120.0,98.0,-3.0,-14.0,DEN,LAX,878.0,0,0
2007,3,14,3,411,853,DL,N572US,288.0,282.0,258.0,16.0,17.0,SEA,DEN,1909.0,0,0
2007,12,28,3,39,308,AA,N369DL,142.0,149.0,137.0,3.0,2.0,PHX,MCO,1115.0,0,0
2007,2,5,1,1326,1510,US,N107US,102.0,104.0,86.0,-35.0,-23.0,JFK,MCO,726.0,0,0
2007,8,11,4,821,944,US,N870UA,91.0,83.0,67.0,46.0,53.0,SFO,MCO,594.0,0,0
2007,7,16,7,1750,2035,UA,N703UA,164.0,165.0,152.0,12.0,18.0,JFK,SEA,1235.0,0,0
2007,11,2,3,1432,1622,WN,N211US,101.0,110.0,90.0,-63.0,-73.0,SFO,DFW,794.0,0,0
2007,4,13,5,1923,2222,AA,N703UA,171.0,179.0,157.0,-27.0,-34.0,SFO,ORD,1325.0,0,0
2007,11,12,7,211,644,AA,N586DL,279.0,273.0,250.0,-38.0,-31.0,SFO,JFK,1950.0,0,0
2007,9,28,6,318,613,US,N668AA,176.0,175.0,151.0,-44.0,-41.0,PHX,MCO,1245.0,0,0
2007,11,17,1,1145,1609,DL,N342WN,254.0,264.0,250.0,-3.0,-2.0,LAX,DFW,1870.0,0,0
2007,3,5,7,121,548,US,N376WN,264.0,267.0,255.0,-30.0,-35.0,DEN,DFW,1813.0,0,0
2007,10,16,1,1609,1934,AA,N552AA,199.0,205.0,183.0,-40.0,-41.0,SEA,JFK,1389.0,0,0
2007,12,18,3,102,653,UA,N479DL,370.0,351.0,336.0,11.0,14.0,MCO,PHX,2610.0,0,0
2007,1,25,6,1302,1505,AA,N107US,129.0,123.0,105.0,-10.0,-1.0,SEA,DEN,817.0,0,0
2007,5,6,3,1115,1308,US,N683AA,114.0,113.0,96.0,-14.0,-19.0,PHX,LAX,799.0,0,0
2007,8,6,7,745,1115,US,N755AA,210.0,210.0,185.0,,-33.0,MCO,DEN,1494.0,0,0
2007,2,12,7,343,657,US,N114WN,197.0,194.0,170.0,0.0,-1.0,DEN,PHX,1367.0,0,0
2007,7,2,2,1225,1757,WN,N683AA,320.0,332.0,319.0,-19.0,-22.0,DFW,SEA,2213.0,0,0
2007,8,21,1,1903,2220,US,N114WN,210.0,197.0,177.0,25.0,21.0,PHX,LAX,1312.0,0,0
2007,10,26,4,2307,240,AA,N668AA,205.0,213.0,200.0,-5.0,-5.0,ATL,PHX,1465.0,0,0
2007,12,14,4,539,720,WN,N755UA,109.0,101.0,86.0,3.0,15.0,PHX,ORD,676.0,0,0
2007,5,19,2,1812,2020,AA,N831WN,124.0,128.0,114.0,63.0,66.0,LAX,ORD,915.0,0,0
2007,6,11,5,1005,1332,DL,N702US,205.0,207.0,195.0,-50.0,-59.0,JFK,ORD,1425.0,0,0
2007,6,27,3,318,703,UA,N102UA,226.0,225.0,210.0,41.0,44.0,LAX,PHX,1487.0,0,0
2007,12,25,1,626,821,UA,N598UA,120.0,115.0,99.0,6.0,20.0,ORD,PHX,848.0,0,0
2007,3,15,4,1255,1432,US,N167WN,98.0,97.0,77.0,39.0,38.0,ORD,PHX,657.0,0,0
2007,6,25,3,413,800,AA,N653US,225.0,227.0,203.0,27.0,34.0,DEN,LAX,1496.0,0,0
2007,1,2,5,1417,1610,AA,N331US,112.0,113.0,92.0,29.0,32.0,DFW,MCO,761.0,0,0
2007,6,11,2,2208,30,WN,N211US,141.0,142.0,124.0,80.0,86.0,PHX,LAX,944.0,0,0
2007,12,11,7,2041,39,UA,N831WN,242.0,238.0,224.0,19.0,23.0,DEN,JFK,1631.0,0,0
2007,8,3,7,119,343,WN,N920AA,147.0,144.0,124.0,-67.0,-52.0,SFO,JFK,989.0,0,0
2007,5,23,5,429,521,DL,N920AA,52.0,52.0,33.0,69.0,90.0,ORD,SFO,351.0,0,0
2007,12,10,1,1707,2023,AA,N703UA,204.0,196.0,171.0,-25.0,-28.0,ATL,ORD,1462.0,0,0
2007,8,1,7,151,604,US,N167WN,257.0,253.0,234.0,11.0,16.0,PHX,SFO,1657.0,0,0
2007,12,6,2,623,1205,DL,N342WN,335.0,342.0,327.0,16.0,16.0,ORD,LAX,2351.0,0,0
2007,1,24,3,1957,9,UA,N532DL,249.0,252.0,239.0,22.0,34.0,DEN,DFW,1864.0,0,0
2007,6,21,7,228,751,AA,N861DL,319.0,323.0,305.0,15.0,16.0,SEA,PHX,2152.0,0,0
2007,11,14,7,1647,2105,AA,N603AA,262.0,258.0,245.0,-33.0,-36.0,SFO,ORD,1737.0,0,0
2007,10,18,3,438,854,UA,N136WN,264.0,256.0,236.0,15.0,36.0,DFW,PHX,1830.0,0,0
2007,5,18,6,457,604,DL,N167WN,64.0,67.0,47.0,-59.0,-53.0,SFO,LAX,487.0,0,0
2007,6,15,2,953,1550,DL,N102UA,358.0,357.0,341.0,62.0,54.0,SFO,ATL,2557.0,0,0
2007,6,22,5,802,940,WN,N532DL,94.0,98.0,80.0,12.0,3.0,SFO,ORD,720.0,0,0
2007,7,1,6,1504,1737,WN,N532DL,155.0,153.0,141.0,-68.0,-62.0,LAX,JFK,1122.0,0,0
2007,3,23,7,933,1024,AA,N342WN,48.0,51.0,38.0,-8.0,-15.0,JFK,SEA,356.0,0,0
2007,10,28,6,1623,1720,DL,N479DL,54.0,57.0,39.0,5.0,5.0,LAX,DFW,410.0,0,0
2007,1,16,3,2240,123,UA,N119DL,165.0,163.0,151.0,13.0,17.0,MCO,LAX,1145.0,0,0
2007,5,1,3,247,524,AA,N462US,159.0,157.0,132.0,1.0,-26.0,MCO,ATL,1027.0,0,0
2007,4,23,3,1125,1426,WN,N107US,172.0,181.0,164.0,17.0,25.0,ATL,DFW,1291.0,0,0
2007,9,15,4,1047,1354,US,N831WN,190.0,187.0,176.0,-48.0,-43.0,ORD,MCO,1385.0,0,0
2007,9,3,4,1515,1601,AA,N532DL,42.0,46.0,33.0,-6.0,-13.0,LAX,MCO,316.0,0,0
2007,9,13,3,227,545,AA,N130UA,203.0,198.0,180.0,-9.0,-3.0,JFK,SEA,1427.0,0,0
2007,12,2,4,610,744,AA,N645AA,86.0,94.0,73.0,4.0,0.0,PHX,DFW,695.0,0,0
2007,12,8,6,443,949,AA,N645AA,314.0,306.0,289.0,-34.0,-28.0,ATL,ORD,2060.0,0,0
2007,3,17,5,325,433,AA,N532DL,69.0,68.0,49.0,27.0,15.0,DEN,SFO,448.0,0,0
2007,2,25,2,533,756,UA,N369DL,149.0,143.0,120.0,40.0,33.0,PHX,JFK,936.0,0,0
2007,2,28,6,449,732,US,N104US,162.0,163.0,143.0,27.0,27.0,ATL,SFO,1121.0,0,0
2007,9,10,4,2259,227,US,N572US,213.0,208.0,188.0,-25.0,-39.0,ATL,ORD,1522.0,0,0
2007,12,10,3,853,1207,AA,N349UA,202.0,194.0,178.0,11.0,13.0,ORD,LAX,1303.0,0,0
2007,12,16,3,635,1149,US,N257WN,319.0,314.0,302.0,-19.0,-23.0,JFK,PHX,2268.0,0,0
2007,9,21,4,1008,1309,AA,N681US,186.0,181.0,157.0,-45.0,-39.0,DEN,ATL,1340.0,0,0
2007,12,4,1,450,632,DL,N703UA,107.0,102.0,90.0,55.0,55.0,PHX,ORD,716.0,0,0
2007,11,11,5,658,1212,DL,N104US,319.0,314.0,297.0,-65.0,-60.0,ATL,MCO,2312.0,0,0
2007,1,2,7,2309,440,WN,N875DL,325.0,331.0,307.0,19.0,-2.0,PHX,SFO,2481.0,0,0
2007,2,20,2,755,912,WN,N257DL,87.0,77.0,66.0,23.0,24.0,LAX,JFK,544.0,0,0
2007,11,24,3,1638,1806,DL,N257WN,96.0,88.0,63.0,-28.0,-30.0,SFO,JFK,628.0,0,0
2007,1,17,6,2115,0,UA,N454UA,150.0,165.0,143.0,13.0,21.0,SFO,JFK,1088.0,0,0
2007,12,4,4,1031,1454,US,N331US,267.0,263.0,246.0,-37.0,-42.0,SFO,JFK,1924.0,0,0
2007,10,13,5,1154,1624,WN,N972AA,266.0,270.0,251.0,-2.0,0.0,MCO,LAX,1981.0,0,0
2007,12,4,3,2245,429,DL,N114WN,347.0,344.0,326.0,-3.0,-10.0,ORD,LAX,2430.0,0,0
2007,5,19,6,1004,1349,WN,N702US,232.0,225.0,201.0,-1.0,2.0,LAX,DFW,1511.0,0,0
2007,2,19,2,2014,10,UA,N861DL,224.0,236.0,213.0,-23.0,-6.0,LAX,DFW,1602.0,0,0
2007,7,11,3,157,744,UA,N861DL,353.0,347.0,331.0,-115.0,-107.0,ATL,DEN,2410.0,0,0
2007,12,7,4,2220,240,WN,N672WN,255.0,260.0,237.0,54.0,58.0,DFW,ORD,1863.0,0,0
2007,5,3,3,2125,40,UA,N755UA,195.0,195.0,183.0,9.0,22.0,SEA,MCO,1360.0,0,0
2007,11,22,4,1526,2012,US,N683AA,287.0,286.0,262.0,55.0,54.0,PHX,SEA,2116.0,0,0
2007,5,7,4,1828,2252,WN,N167WN,257.0,264.0,245.0,26.0,23.0,SFO,ATL,1897.0,0,0
2007,10,3,6,627,828,AA,N114WN,116.0,121.0,97.0,37.0,43.0,ATL,ORD,846.0,0,0
2007,3,24,2,1043,1243,WN,N349UA,121.0,120.0,99.0,17.0,23.0,MCO,JFK,830.0,0,0
2007,6,1,6,1917,2033,AA,N376WN,80.0,76.0,57.0,-18.0,-6.0,LAX,SEA,558.0,0,0
2007,4,16,6,1426,1642,AA,N342WN,136.0,136.0,111.0,-2.0,-8.0,ATL,JFK,998.0,0,0
2007,3,11,5,1934,2236,WN,N104US,178.0,182.0,163.0,-56.0,-55.0,MCO,SFO,1258.0,0,0
2007,11,14,1,1728,2204,UA,N376WN,275.0,276.0,260.0,1.0,7.0,MCO,LAX,2066.0,0,0
2007,10,25,1,1518,1905,WN,N125US,229.0,227.0,217.0,6.0,6.0,DEN,ORD,1581.0,0,0
2007,2,22,2,2024,159,UA,N940AA,336.0,335.0,323.0,-4.0,-7.0,JFK,DFW,2192.0,0,0
2007,12,4,2,2330,140,DL,N861DL,134.0,130.0,106.0,110.0,119.0,SFO,ORD,900.0,0,0
2007,12,16,7,505,749,UA,N875DL,160.0,164.0,144.0,26.0,21.0,JFK,LAX,1127.0,0,0
2007,4,1,2,904,1002,UA,N572US,50.0,58.0,42.0,9.0,1.0,SEA,ORD,417.0,0,0
2007,6,4,2,1259,1757,AA,N864WN,302.0,298.0,275.0,34.0,40.0,LAX,SFO,2172.0,0,0
2007,7,14,1,916,1424,DL,N130UA,310.0,308.0,291.0,31.0,31.0,ATL,DFW,2258.0,0,0
2007,8,12,3,1243,1333,WN,N831WN,58.0,50.0,40.0,1.0,10.0,PHX,LAX,338.0,0,0
2007,6,13,6,2153,234,UA,N172DL,282.0,281.0,268.0,-10.0,-6.0,DEN,LAX,2095.0,0,0
2007,2,15,4,240,347,DL,N172DL,72.0,67.0,50.0,30.0,23.0,DFW,ORD,438.0,0,0
2007,12,13,3,812,1355,UA,N376WN,341.0,343.0,332.0,-16.0,-4.0,ORD,SEA,2524.0,0,0
2007,9,5,7,1451,1715,UA,N479DL,148.0,144.0,124.0,17.0,7.0,DFW,ORD,967.0,0,0
2007,1,7,4,2308,41,US,N645AA,95.0,93.0,80.0,11.0,12.0,LAX,DFW,615.0,0,0
2007,10,4,6,1926,2012,AA,N755UA,48.0,46.0,26.0,-30.0,-27.0,JFK,DFW,329.0,0,0
2007,9,20,4,2122,2217,US,N572US,56.0,55.0,40.0,35.0,49.0,JFK,SFO,364.0,0,0
2007,3,23,6,402,548,US,N681US,107.0,106.0,89.0,31.0,30.0,JFK,SFO,791.0,0,0
2007,8,24,4,1609,2046,AA,N672WN,277.0,277.0,256.0,33.0,40.0,ATL,ORD,2060.0,0,0
2007,7,19,5,1825,2156,AA,N870UA,205.0,211.0,196.0,13.0,6.0,JFK,PHX,1425.0,0,0
2007,1,13,7,2139,256,UA,N833UA,321.0,317.0,302.0,-4.0,-5.0,SFO,DEN,2300.0,0,0
2007,12,8,2,1845,37,AA,N668AA,343.0,352.0,329.0,-4.0,7.0,MCO,ATL,2339.0,0,0
2007,9,26,4,308,502,AA,N331US,118.0,114.0,92.0,4.0,-3.0,SFO,ATL,798.0,0,0
2007,4,9,2,831,1426,UA,N864WN,359.0,355.0,343.0,10.0,8.0,PHX,ATL,2316.0,0,0
2007,1,21,1,1626,1909,US,N257DL,169.0,163.0,151.0,50.0,51.0,ORD,LAX,1166.0,0,0
2007,2,12,4,2044,122,AA,N940AA,281.0,278.0,262.0,-32.0,-33.0,DEN,JFK,1996.0,0,0
2007,10,3,1,1829,2340,WN,N668AA,304.0,311.0,293.0,38.0,28.0,DEN,MCO,2327.0,0,0
2007,2,4,4,1428,1811,AA,N172DL,220.0,223.0,210.0,-32.0,-25.0,ATL,PHX,1582.0,0,0
2007,7,27,4,612,700,AA,N787UA,46.0,48.0,33.0,69.0,61.0,DFW,PHX,353.0,0,0
2007,11,27,6,1645,2135,DL,N180DL,293.0,290.0,270.0,-3.0,-3.0,JFK,SEA,2086.0,0,0
2007,12,12,1,340,549,WN,N972AA,125.0,129.0,118.0,44.0,48.0,ATL,LAX,962.0,0,0
2007,4,23,5,139,445,UA,N598UA,184.0,186.0,162.0,63.0,69.0,MCO,SFO,1230.0,0,0
2007,1,18,5,56,221,UA,N376WN,85.0,85.0,64.0,-18.0,-14.0,ORD,DFW,591.0,0,0
2007,6,8,7,120,326,WN,N588AA,126.0,126.0,113.0,10.0,14.0,ORD,LAX,834.0,0,0
2007,11,5,4,806,1349,DL,N864WN,345.0,343.0,319.0,-13.0,-3.0,DEN,LAX,2253.0,0,0
2007,8,23,7,2011,2305,UA,N369DL,176.0,174.0,155.0,92.0,82.0,LAX,DFW,1291.0,0,0
2007,1,15,6,1440,1538,US,N653US,46.0,58.0,35.0,-26.0,-20.0,LAX,DFW,417.0,0,0
2007,8,14,5,705,758,AA,N172DL,42.0,53.0,40.0,-52.0,-43.0,ATL,SEA,393.0,0,0
2007,5,7,5,1529,1901,AA,N552AA,211.0,212.0,192.0,44.0,41.0,LAX,PHX,1494.0,0,0
2007,3,23,3,1039,1213,US,N376WN,96.0,94.0,79.0,-1.0,8.0,ORD,DFW,662.0,0,0
2007,6,19,7,454,920,DL,N572US,267.0,266.0,249.0,16.0,17.0,PHX,ATL,1934.0,0,0
2007,11,12,1,2111,2354,UA,N119DL,153.0,163.0,145.0,-17.0,-16.0,PHX,MCO,1116.0,0,0
2007,12,9,5,1733,2047,UA,N102UA,189.0,194.0,170.0,14.0,21.0,SFO,JFK,1379.0,0,0
2007,2,14,7,125,557,UA,N349UA,278.0,272.0,250.0,22.0,11.0,DFW,PHX,1821.0,0,0
2007,7,28,6,628,835,WN,N755AA,130.0,127.0,112.0,27.0,16.0,ATL,PHX,831.0,0,0
2007,10,4,1,1018,1239,US,N552AA,135.0,141.0,129.0,57.0,54.0,LAX,MCO,965.0,0,0
2007,4,4,4,2051,2320,US,N683AA,148.0,149.0,138.0,54.0,50.0,SFO,MCO,972.0,0,0
2007,4,1,1,21,255,AA,N703UA,153.0,154.0,133.0,37.0,32.0,ATL,DEN,1054.0,0,0
2007,3,16,4,1523,1718,DL,N598UA,111.0,115.0,104.0,10.0,18.0,SFO,JFK,802.0,0,0
2007,3,17,2,2019,155,UA,N331US,340.0,336.0,312.0,-2.0,-7.0,SEA,ATL,2517.0,0,0
2007,11,6,6,2315,429,UA,N552AA,315.0,314.0,301.0,31.0,37.0,SFO,ORD,2300.0,0,0
2007,3,18,4,1536,2014,WN,N552AA,285.0,278.0,255.0,18.0,15.0,ORD,SEA,1935.0,0,0
2007,3,9,7,919,1004,AA,N940AA,48.0,45.0,28.0,21.0,35.0,SEA,ATL,330.0,0,0
2007,2,26,4,2125,2,AA,N755AA,159.0,157.0,139.0,45.0,45.0,DEN,LAX,1152.0,0,0
2007,2,25,4,404,528,WN,N875DL,88.0,84.0,67.0,-16.0,-10.0,DEN,ATL,622.0,0,0
2007,10,18,5,711,851,WN,N645AA,105.0,100.0,89.0,-5.0,20.0,LAX,SFO,696.0,0,0
2007,4,15,7,1648,2205,US,N787UA,325.0,317.0,294.0,-32.0,-34.0,SFO,JFK,2196.0,0,0
2007,10,5,4,1324,1621,DL,N454UA,181.0,177.0,157.0,8.0,17.0,LAX,ATL,1168.0,0,0
2007,8,3,4,1704,2258,WN,N870UA,353.0,354.0,342.0,19.0,11.0,LAX,MCO,2583.0,0,0
2007,11,24,3,2003,2234,DL,N833UA,147.0,151.0,126.0,21.0,21.0,SFO,ATL,1120.0,0,0
2007,7,21,5,1532,1836,AA,N586DL,189.0,184.0,163.0,-24.0,-15.0,DFW,PHX,1234.0,0,0
2007,10,25,4,2053,41,US,N376WN,234.0,228.0,208.0,-10.0,-11.0,DFW,ORD,1678.0,0,0
2007,10,13,3,616,1104,US,N114WN,287.0,288.0,266.0,59.0,67.0,ATL,ORD,1984.0,0,0
2007,1,16,2,1950,1,WN,N588AA,257.0,251.0,238.0,32.0,35.0,ATL,MCO,1781.0,0,0
2007,7,3,6,419,942,UA,N645AA,324.0,323.0,306.0,-42.0,-36.0,SEA,JFK,2372.0,0,0
2007,6,17,5,849,1352,AA,N870UA,304.0,303.0,285.0,23.0,25.0,DEN,JFK,2092.0,0,0
2007,4,14,1,1722,2225,UA,N479DL,307.0,303.0,291.0,48.0,47.0,JFK,DFW,2053.0,0,0
2007,6,6,5,1138,1707,WN,N102UA,332.0,329.0,309.0,49.0,49.0,LAX,ATL,2260.0,0,0
2007,5,13,5,111,408,UA,N454UA,181.0,177.0,161.0,32.0,31.0,LAX,JFK,1312.0,0,0
2007,6,21,3,2017,145,AA,N257WN,329.0,328.0,308.0,8.0,3.0,MCO,ATL,2325.0,0,0
2007,10,17,6,825,1347,DL,N586DL,320.0,322.0,299.0,9.0,19.0,ATL,ORD,2371.0,0,0
2007,10,6,2,1959,2146,UA,N119DL,109.0,107.0,94.0,-19.0,-20.0,JFK,ORD,787.0,0,0
2007,8,13,2,917,1226,UA,N870UA,188.0,189.0,166.0,-22.0,-27.0,MCO,ATL,1389.0,0,0
2007,9,24,7,443,642,WN,N864WN,115.0,119.0,98.0,11.0,9.0,PHX,ORD,850.0,0,0
2007,12,17,2,2359,422,WN,N180DL,263.0,263.0,244.0,38.0,36.0,DEN,LAX,1880.0,0,0
2007,8,18,1,1742,2253,DL,N653US,310.0,311.0,299.0,-5.0,7.0,PHX,LAX,2165.0,0,0
2007,5,20,1,732,1327,UA,N603AA,361.0,355.0,343.0,80.0,90.0,JFK,SFO,2458.0,0,0
2007,1,4,6,1518,1753,US,N180DL,149.0,155.0,142.0,22.0,25.0,JFK,MCO,1081.0,0,0
2007,7,28,3,1936,2210,DL,N331US,150.0,154.0,129.0,19.0,19.0,ATL,ORD,1155.0,0,0
